annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;numero_jokerplus;devise;;;;;;;;;
2016137;LUNDI   ;14/11/2016;14/01/2017;41;6;14;16;26;2;6-14-16-26-41+2;0;0;1;176712,8;392;970,1;17432;9,4;233011;5;277892;2;5343551;eur;;;;;;;;;
2016136;SAMEDI  ;12/11/2016;12/01/2017;29;11;19;16;2;8;2-11-16-19-29+8;0;0;7;42326;1194;534;40538;6,8;468918;4,2;537669;2;5068531;eur;;;;;;;;;
2016135;MERCREDI;09/11/2016;09/01/2017;3;22;47;14;8;5;3-8-14-22-47+5;0;0;4;54179,4;658;708,8;24389;8,2;310970;4,6;455645;2;4560216;eur;;;;;;;;;
2016134;LUNDI   ;07/11/2016;07/01/2017;1;46;21;6;31;6;1-6-21-31-46+6;0;0;0;0;329;1607,5;14983;10,4;213523;5,2;335364;2;8837084;eur;;;;;;;;;
2016133;SAMEDI  ;05/11/2016;05/01/2017;16;42;21;6;34;5;6-16-21-34-42+5;1;2000000;3;100120,7;582;1110,7;25288;11;364455;5,4;650038;2;2877195;eur;;;;;;;;;
2016132;MERCREDI;02/11/2016;02/01/2017;26;1;49;7;14;10;1-7-14-26-49+10;1;16000000;8;31529,8;973;557,9;34129;6,8;391158;4,2;364503;2;7885333;eur;;;;;;;;;
2016131;LUNDI   ;31/10/2016;31/12/2016;11;35;16;29;41;4;11-16-29-35-41+4;0;0;1;210241,8;378;1197;17544;11,1;256427;5,4;369593;2;4057238;eur;;;;;;;;;
2016130;SAMEDI  ;29/10/2016;29/12/2016;21;36;44;26;14;4;14-21-26-36-44+4;0;0;5;68838,7;740;1001;28741;11,1;417081;5,4;610472;2;4228848;eur;;;;;;;;;
2016129;MERCREDI;26/10/2016;26/12/2016;1;46;20;40;35;10;1-20-35-40-46+10;0;0;2;122455,2;331;1592,4;16389;13,9;258030;6,3;360141;2;2248039;eur;;;;;;;;;
2016128;LUNDI   ;24/10/2016;24/12/2016;18;29;36;17;23;7;17-18-23-29-36+7;0;0;4;48854;416;1010,9;17272;10,5;252705;5,1;549908;2;2842285;eur;;;;;;;;;
2016127;SAMEDI  ;22/10/2016;22/12/2016;29;41;3;43;35;8;3-29-35-41-43+8;0;0;3;109004,9;428;1644,3;21935;13,9;347634;6,2;611232;2;8186967;eur;;;;;;;;;
2016126;MERCREDI;19/10/2016;19/12/2016;32;28;29;26;38;1;26-28-29-32-38+1;0;0;1;244500,4;372;1414,5;17107;13,3;267219;6;363111;2;7791510;eur;;;;;;;;;
2016125;LUNDI   ;17/10/2016;17/12/2016;8;31;48;39;22;4;8-22-31-39-48+4;0;0;3;63793,6;311;1324,3;14775;12;223469;5,7;349510;2;7569332;eur;;;;;;;;;
2016124;SAMEDI  ;15/10/2016;15/12/2016;47;30;41;32;39;7;30-32-39-41-47+7;0;0;0;0;415;2461,1;19429;15,5;307675;7;913043;2;1417510;eur;;;;;;;;;
2016123;MERCREDI;12/10/2016;12/12/2016;2;19;34;47;23;2;2-19-23-34-47+2;0;0;2;118009,2;444;1144;19326;11,3;290775;5,4;357289;2;1635881;eur;;;;;;;;;
2016122;LUNDI   ;10/10/2016;10/12/2016;18;19;3;48;9;2;3-9-18-19-48+2;0;0;2;89792,2;451;856,9;20262;8,2;267433;4,4;276581;2;9098008;eur;;;;;;;;;
2016121;SAMEDI  ;08/10/2016;08/12/2016;5;26;28;46;35;9;5-26-28-35-46+9;0;0;0;0;494;1985,5;23172;12,5;366667;5,6;541598;2;5367587;eur;;;;;;;;;
2016120;MERCREDI;05/10/2016;05/12/2016;18;28;15;2;43;3;2-15-18-28-43+3;0;0;1;223027,8;470;1021,2;20110;10,3;283132;5,2;413614;2;6630559;eur;;;;;;;;;
2016119;LUNDI   ;03/10/2016;03/12/2016;46;43;7;22;8;10;7-8-22-43-46+10;0;0;0;0;246;2141,5;14702;10,6;223091;4,9;235123;2;3994346;eur;;;;;;;;;
2016118;SAMEDI  ;01/10/2016;01/12/2016;13;42;8;16;23;1;8-13-16-23-42+1;0;0;3;101112,6;1231;530,3;34923;8,1;448920;4,5;455458;2;1231333;eur;;;;;;;;;
2016117;MERCREDI;28/09/2016;28/11/2016;44;46;29;42;45;3;29-42-44-45-46+3;1;2000000;0;0;351;1899,7;13430;14,6;200509;7;405261;2;4571762;eur;;;;;;;;;
2016116;LUNDI   ;26/09/2016;26/11/2016;4;23;26;19;27;7;4-19-23-26-27+7;2;1500000;5;33515,8;555;649,8;21612;7,2;263147;4,2;486058;2;3350725;eur;;;;;;;;;
2016115;SAMEDI  ;24/09/2016;24/11/2016;33;32;31;41;43;10;31-32-33-41-43+10;0;0;1;301810;432;1503,5;17616;15,9;292367;6,8;432240;2;1174569;eur;;;;;;;;;
